Trajectory	Frame	x	y	z
1	729	20.727	28.848	0
1	730	20.712	28.556	0
1	731	20.667	28.705	0
1	732	20.452	28.484	0
1	733	20.532	29.079	0
1	734	20.371	29.234	0
1	735	20.426	28.969	0
1	736	20.263	28.56	0
1	737	20.603	28.673	0
1	738	20.56	28.631	0
1	739	20.869	28.743	0
1	740	20.769	29.455	0
1	741	20.399	30.441	0
1	742	20.232	30.723	0
1	743	19.891	30.981	0
1	744	19.827	31.118	0
1	745	19.267	30.868	0
1	746	19.529	31.288	0
1	747	19.393	31.495	0
1	748	19.84	31.582	0
1	749	19.931	31.341	0
1	750	19.365	31.313	0
1	751	18.929	31.738	0
1	752	18.901	31.611	0
1	753	19.072	31.899	0
1	754	19.369	32.172	0
1	755	19.575	32.246	0
1	756	19.808	32.331	0
1	757	19.94	32.372	0
1	758	20.354	32.612	0
1	759	20.441	32.261	0
1	760	20.419	32.51	0
1	761	21.191	32.229	0
1	762	21.631	32.28	0
1	763	22.443	32.345	0
1	764	22.563	32.399	0
1	765	22.34	32.493	0
1	766	22.419	32.457	0
1	767	22.617	32.492	0
1	768	22.78	32.34	0
1	769	22.898	32.343	0
1	770	23.4	31.629	0
1	771	23.953	31.525	0
1	772	24.182	32.521	0
1	773	24.232	32.498	0
1	774	24.482	32.476	0
1	775	24.797	32.536	0
1	776	24.761	32.281	0
1	777	24.518	31.424	0
1	778	24.558	31.699	0
1	779	24.523	31.884	0
1	780	24.525	32.209	0
1	781	24.434	32.26	0
1	782	24.107	32.729	0
1	783	23.747	32.841	0
1	784	23.387	32.87	0
1	785	23.512	32.944	0
1	786	23.905	32.82	0
1	787	23.79	32.795	0
1	788	24.032	32.697	0
1	789	24.532	32.607	0
1	790	24.609	32.75	0
1	791	24.57	32.468	0
1	792	24.603	32.506	0
1	793	24.837	32.126	0
1	794	25.077	32.251	0
1	795	25.258	31.797	0
1	796	25.346	31.77	0
1	797	24.858	32.137	0
1	798	24.804	31.861	0
1	799	24.82	32.154	0
1	800	24.75	32.195	0
1	801	24.085	32.72	0
1	802	23.557	32.746	0
1	803	23.938	32.792	0
1	804	23.852	32.891	0
1	805	23.904	32.726	0
1	806	23.79	32.796	0
1	807	24.348	32.822	0
1	808	24.421	32.724	0
1	809	24.451	33.138	0
1	810	25.191	32.839	0
1	811	25.417	33.092	0
1	812	25.311	32.784	0
1	813	25.714	32.101	0
1	814	25.724	31.602	0
1	815	25.474	32.077	0
1	816	24.907	32.202	0
1	817	24.74	31.922	0
1	818	24.81	32.101	0
1	819	24.583	32.343	0
1	820	24.74	31.974	0
1	821	24.911	32.172	0
1	822	25.122	32.198	0
1	823	25.022	32.063	0
1	824	24.726	32.35	0
1	825	24.612	32.089	0
1	826	24.992	32.209	0
1	827	24.647	32.409	0
1	828	24.392	32.571	0
1	829	23.747	32.918	0
1	830	24.09	32.901	0
